"destination_country","origin_country","Rank","1990","1995","2000","2005","2010","2015","2019"
"United Arab Emirates","Pakistan",173,0,0,0,0,0,913855,0
"Uzbekistan","Russian Federation",174,0,0,0,0,913652,0,0
"Russian Federation","Uzbekistan",175,0,0,913322,0,0,0,0
"United States of America","Philippines",176,912674,0,0,0,0,0,0
"Saudi Arabia","India",177,906468,0,0,0,0,0,0
"Germany","Russian Federation",178,0,0,903777,0,0,0,0
"Thailand","Lao People's Democratic Republic",179,0,0,0,0,0,896727,0
"Germany","Russian Federation",180,0,0,0,0,0,893657,0
"Russian Federation","Uzbekistan",181,890893,0,0,0,0,0,0
"Germany","Russian Federation",182,0,0,0,889324,0,0,0
"United Arab Emirates","Egypt",183,0,0,0,0,0,0,886291
"United States of America","Republic of Korea",184,0,0,886067,0,0,0,0
"Uzbekistan","Russian Federation",185,0,0,0,0,0,877690,0
"Uzbekistan","Russian Federation",186,0,0,0,0,0,0,875824
"France","Morocco",187,0,0,0,0,870001,0,0
"Malaysia","Indonesia",188,0,0,0,863998,0,0,0
"Germany","Russian Federation",189,0,0,0,0,861106,0,0
"Jordan","State of Palestine",190,851880,0,0,0,0,0,0
"Germany","Kazakhstan",191,0,0,0,0,0,848587,0
"United States of America","Dominican Republic",192,0,0,0,0,843720,0,0
"United States of America","El Salvador",193,0,0,838090,0,0,0,0
"United Arab Emirates","Pakistan",194,0,0,0,0,836310,0,0
"Iran (Islamic Republic of)","Iraq",195,0,833700,0,0,0,0,0
"France","Morocco",196,0,0,0,832641,0,0,0
"France","Portugal",197,0,0,831900,0,0,0,0
"Thailand","Lao People's Democratic Republic",198,0,0,0,0,829240,0,0
"Saudi Arabia","Indonesia",199,0,0,0,825998,0,0,0
"United Arab Emirates","Egypt",200,0,0,0,0,0,825178,0
"Singapore","Malaysia",201,0,0,0,818337,0,0,0
"United States of America","Guatemala",202,0,0,0,0,817495,0,0
"Germany","Kazakhstan",203,0,0,0,0,816137,0,0
"United Kingdom","India",204,0,0,0,0,0,808104,0
"France","Portugal",205,0,806641,0,0,0,0,0
"United Kingdom","Poland",206,0,0,0,0,0,804877,0
"Saudi Arabia","Syrian Arab Republic",207,0,0,0,0,0,0,802915
"Belarus","Russian Federation",208,791522,0,0,0,0,0,0
"France","Portugal",209,781382,0,0,0,0,0,0
"United States of America","Viet Nam",210,0,775967,0,0,0,0,0
"Sudan","South Sudan",211,0,0,0,0,0,0,773512
"Saudi Arabia","Egypt",212,0,0,0,0,0,770483,0
"Spain","Morocco",213,0,0,0,0,763734,0,0
"Mexico","United States of America",214,0,0,0,0,0,0,762290
"United States of America","Dominican Republic",215,0,0,0,761989,0,0,0
"France","Morocco",216,0,0,760148,0,0,0,0
"United States of America","Jamaica",217,0,0,0,0,0,0,759172
"United Arab Emirates","Egypt",218,0,0,0,0,755158,0,0
"Saudi Arabia","Yemen",219,0,0,0,0,0,0,750919
"Belarus","Russian Federation",220,0,749767,0,0,0,0,0
"United States of America","India",221,0,746337,0,0,0,0,0
"Mexico","United States of America",222,0,0,0,0,741918,0,0
"Mexico","United States of America",223,0,0,0,0,0,739362,0
"France","Morocco",224,0,737068,0,0,0,0,0
"United States of America","Haiti",225,0,0,0,0,0,0,737058
"Thailand","Myanmar",226,0,0,734129,0,0,0,0
"Spain","Romania",227,0,0,0,0,727521,0,0
"Malaysia","Indonesia",228,0,0,726961,0,0,0,0
"United States of America","Republic of Korea",229,0,725849,0,0,0,0,0
"United States of America","Germany",230,0,0,724649,0,0,0,0
"Jordan","Syrian Arab Republic",231,0,0,0,0,0,0,724508
"Saudi Arabia","Pakistan",232,0,0,0,724160,0,0,0
"United States of America","United Kingdom",233,0,0,0,0,720428,0,0
"United States of America","Germany",234,0,718811,0,0,0,0,0
"United States of America","United Kingdom",235,0,0,0,0,0,0,716260
"South Africa","Mozambique",236,0,0,0,0,0,0,716057
"France","Morocco",237,713987,0,0,0,0,0,0
"United States of America","Germany",238,711929,0,0,0,0,0,0
"Spain","Morocco",239,0,0,0,0,0,0,711792
"United States of America","Jamaica",240,0,0,0,0,0,711134,0
"Singapore","Malaysia",241,0,0,710434,0,0,0,0
"Canada","India",242,0,0,0,0,0,0,709448
"Belarus","Russian Federation",243,0,0,708011,0,0,0,0
"United States of America","Dominican Republic",244,0,0,705139,0,0,0,0
"Spain","Morocco",245,0,0,0,0,0,699880,0
"Belarus","Russian Federation",246,0,0,0,698192,0,0,0
"Qatar","India",247,0,0,0,0,0,0,698088
"United States of America","United Kingdom",248,0,0,0,696965,0,0,0
"United States of America","United Kingdom",249,0,0,694961,0,0,0,0
"Argentina","Paraguay",250,0,0,0,0,0,0,690948
"Canada","United Kingdom",251,688691,0,0,0,0,0,0
"Belarus","Russian Federation",252,0,0,0,0,688372,0,0
"Japan","Republic of Korea",253,687832,0,0,0,0,0,0
"France","Portugal",254,0,0,0,0,0,0,687530
"United Kingdom","India",255,0,0,0,0,684136,0,0
"United States of America","United Kingdom",256,0,0,0,0,0,683475,0
"United States of America","Haiti",257,0,0,0,0,0,682521,0
"United States of America","Germany",258,0,0,0,682498,0,0,0
"Belarus","Russian Federation",259,0,0,0,0,0,682362,0
"Argentina","Paraguay",260,0,0,0,0,0,679044,0
"United States of America","Jamaica",261,0,0,0,0,675237,0,0
"Kuwait","India",262,0,0,0,0,674184,0,0
"Belarus","Russian Federation",263,0,0,0,0,0,0,673880
"Jordan","Syrian Arab Republic",264,0,0,0,0,0,673705,0
"Germany","Kazakhstan",265,0,0,0,671031,0,0,0
"Germany","Poland",266,0,0,670656,0,0,0,0
"France","Portugal",267,0,0,0,0,669693,0,0
"Saudi Arabia","Indonesia",268,0,0,668666,0,0,0,0
"United Arab Emirates","India",269,0,667853,0,0,0,0,0
"United States of America","United Kingdom",270,0,667769,0,0,0,0,0
"India","Nepal",271,0,0,664187,0,0,0,0
"Canada","India",272,0,0,0,0,0,662037,0
"Japan","Republic of Korea",273,0,660554,0,0,0,0,0
"United States of America","Germany",274,0,0,0,0,660214,0,0
"Saudi Arabia","Syrian Arab Republic",275,0,0,0,0,0,659067,0
"Russian Federation","Georgia",276,656888,0,0,0,0,0,0
"United States of America","Honduras",277,0,0,0,0,0,0,655995
"Russian Federation","Georgia",278,0,653159,0,0,0,0,0
"Saudi Arabia","Indonesia",279,0,650793,0,0,0,0,0
"United States of America","El Salvador",280,0,649970,0,0,0,0,0
"France","Portugal",281,0,0,0,0,0,649528,0
"Spain","Romania",282,0,0,0,0,0,646181,0
"Qatar","India",283,0,0,0,0,0,645577,0
"United States of America","Guatemala",284,0,0,0,643349,0,0,0
"Canada","United Kingdom",285,0,641095,0,0,0,0,0
"United States of America","United Kingdom",286,640145,0,0,0,0,0,0
"South Africa","Mozambique",287,0,0,0,0,0,638833,0
"Japan","Republic of Korea",288,0,0,635194,0,0,0,0
"Saudi Arabia","Indonesia",289,635007,0,0,0,0,0,0
"Saudi Arabia","Philippines",290,0,0,0,0,0,0,628894
"Russian Federation","Georgia",291,0,0,625743,0,0,0,0
"Canada","Portugal",292,0,0,0,0,0,0,624280
"Spain","Romania",293,0,0,0,0,0,0,622555
"Ethiopia","Somalia",294,616940,0,0,0,0,0,0
"Saudi Arabia","Yemen",295,0,0,0,0,0,616386,0
"India","Nepal",296,0,0,0,613671,0,0,0
"United Kingdom","Ireland",297,611877,0,0,0,0,0,0
"United States of America","Jamaica",298,0,0,0,611604,0,0,0
"Canada","United Kingdom",299,0,0,608742,0,0,0,0
"United States of America","Honduras",300,0,0,0,0,0,607457,0
"United Kingdom","Pakistan",301,0,0,0,0,0,0,605016
"Saudi Arabia","Egypt",302,0,0,0,0,603000,0,0
"Peru","Venezuela (Bolivarian Republic of)",303,0,0,0,0,0,0,602595
"United Republic of Tanzania","Rwanda",304,0,600656,0,0,0,0,0
"Australia","New Zealand",305,0,0,0,0,0,0,600404
"Syrian Arab Republic","State of Palestine",306,0,0,0,0,0,598128,0
"Germany","Serbia",307,0,0,597290,0,0,0,0
"Syrian Arab Republic","State of Palestine",308,0,0,0,0,0,0,595847
"Russian Federation","Kyrgyzstan",309,0,0,0,0,0,591349,0
"Russian Federation","Kyrgyzstan",310,0,0,0,0,0,0,591211
"India","Nepal",311,0,591200,0,0,0,0,0
"Germany","Syrian Arab Republic",312,0,0,0,0,0,0,589628
"Argentina","Paraguay",313,0,0,0,0,588452,0,0
"France","Portugal",314,0,0,0,586242,0,0,0
"Saudi Arabia","Pakistan",315,0,0,586225,0,0,0,0
"United States of America","Germany",316,0,0,0,0,0,585298,0
"Canada","Portugal",317,0,0,0,0,0,582561,0
"United States of America","Italy",318,580592,0,0,0,0,0,0
"Russian Federation","Kyrgyzstan",319,0,0,0,0,580279,0,0
"Germany","Italy",320,0,0,0,0,0,0,578841
"Malaysia","Nepal",321,0,0,0,0,0,0,578082
"South Sudan","Sudan",322,0,0,0,0,0,0,576668
"Australia","New Zealand",323,0,0,0,0,0,575430,0
"Saudi Arabia","Pakistan",324,0,570555,0,0,0,0,0
"United States of America","Haiti",325,0,0,0,0,570290,0,0
"Italy","Romania",326,0,0,0,570087,0,0,0
"Australia","India",327,0,0,0,0,0,0,568971
"United States of America","Republic of Korea",328,568397,0,0,0,0,0,0
"United States of America","Jamaica",329,0,0,567890,0,0,0,0
"Japan","Republic of Korea",330,0,0,0,0,565989,0,0
"United States of America","Germany",331,0,0,0,0,0,0,563411
"India","Nepal",332,0,0,0,0,563154,0,0
"South Sudan","Sudan",333,0,0,0,0,0,562391,0
"Canada","United Kingdom",334,0,0,0,559313,0,0,0
"United Kingdom","Ireland",335,0,559011,0,0,0,0,0
"Saudi Arabia","Pakistan",336,556715,0,0,0,0,0,0
"United Arab Emirates","Philippines",337,0,0,0,0,0,0,556407
"France","Italy",338,0,0,555528,0,0,0,0
"Malaysia","Nepal",339,0,0,0,0,0,552855,0
"United Kingdom","India",340,0,0,0,549350,0,0,0
"Germany","Romania",341,0,0,0,0,0,0,545759
"Nepal","India",342,0,0,543594,0,0,0,0
"United States of America","Viet Nam",343,543262,0,0,0,0,0,0
"India","Nepal",344,0,0,0,0,0,542573,0
"Qatar","India",345,0,0,0,0,540914,0,0
"Iran (Islamic Republic of)","Iraq",346,0,0,540400,0,0,0,0
"Thailand","Lao People's Democratic Republic",347,0,0,0,539966,0,0,0
"Russian Federation","Georgia",348,0,0,0,539318,0,0,0
"France","Italy",349,0,538661,0,0,0,0,0
"United Kingdom","Poland",350,0,0,0,0,537859,0,0
"Canada","United Kingdom",351,0,0,0,0,537040,0,0
"United States of America","Italy",352,0,534018,0,0,0,0,0
"India","Nepal",353,0,0,0,0,0,0,533646
"United Kingdom","Pakistan",354,0,0,0,0,0,532770,0
"Japan","Republic of Korea",355,0,0,0,532475,0,0,0
"Lebanon","State of Palestine",356,0,0,0,0,530550,0,0
"Canada","United States of America",357,0,0,0,0,0,0,529641
"Russian Federation","Kyrgyzstan",358,0,0,0,526124,0,0,0
"United States of America","Peru",359,0,0,0,0,0,0,525527
"United States of America","Dominican Republic",360,0,524698,0,0,0,0,0
"Côte d'Ivoire","Mali",361,0,0,0,0,0,0,522146
"Spain","Morocco",362,0,0,0,521940,0,0,0
"France","Italy",363,521793,0,0,0,0,0,0
"Mexico","United States of America",364,0,0,0,520053,0,0,0
"India","Nepal",365,518212,0,0,0,0,0,0
"United Arab Emirates","Philippines",366,0,0,0,0,0,518041,0
"Canada","India",367,0,0,0,0,517890,0,0
"Australia","New Zealand",368,0,0,0,0,517780,0,0
"Saudi Arabia","Sri Lanka",369,0,0,0,0,0,0,516256
"United States of America","Ecuador",370,0,0,0,0,0,0,516236
"Saudi Arabia","Philippines",371,0,0,0,0,0,516223,0
"Lebanon","State of Palestine",372,0,0,0,0,0,515853,0
"Saudi Arabia","Syrian Arab Republic",373,0,0,0,0,515803,0,0
"Nepal","India",374,0,515578,0,0,0,0,0
"United Kingdom","Ireland",375,0,0,515544,0,0,0,0
"Nepal","India",376,0,0,0,513955,0,0,0
"Germany","Serbia",377,0,512812,0,0,0,0,0
"South Africa","Mozambique",378,0,0,0,0,505932,0,0
"Côte d'Ivoire","Mali",379,0,0,0,0,0,505532,0
"Germany","Czechia",380,0,0,0,0,0,0,502609
"Lebanon","State of Palestine",381,0,0,0,498778,0,0,0
"Germany","Italy",382,0,0,498084,0,0,0,0
"Germany","Romania",383,0,0,0,0,0,497518,0
"Syrian Arab Republic","State of Palestine",384,0,0,0,0,496983,0,0
"Sudan","Ethiopia",385,0,496740,0,0,0,0,0
"Spain","Ecuador",386,0,0,0,0,496666,0,0
"Canada","United States of America",387,0,0,0,0,0,494246,0
"United States of America","Guatemala",388,0,0,492870,0,0,0,0
"Germany","Italy",389,0,492300,0,0,0,0,0
"United States of America","Honduras",390,0,0,0,0,491834,0,0
"United States of America","Haiti",391,0,0,0,491772,0,0,0
"Dominican Republic","Haiti",392,0,0,0,0,0,0,491013
"Saudi Arabia","Nepal",393,0,0,0,0,0,0,490965
"Germany","Russian Federation",394,0,490548,0,0,0,0,0
"Kenya","Somalia",395,0,0,0,0,0,488470,0
"United States of America","Poland",396,0,0,0,0,487297,0,0
"Lebanon","State of Palestine",397,0,0,0,0,0,0,487270
"Germany","Kazakhstan",398,0,0,487090,0,0,0,0
"United States of America","Peru",399,0,0,0,0,0,486643,0
"Germany","Italy",400,486516,0,0,0,0,0,0
"Kuwait","India",401,0,0,0,485847,0,0,0
"United States of America","Italy",402,0,0,485357,0,0,0,0
"Côte d'Ivoire","Mali",403,0,0,0,0,484763,0,0
"Zimbabwe","Mozambique",404,482855,0,0,0,0,0,0
"Saudi Arabia","Yemen",405,0,0,0,0,482400,0,0
"United States of America","Poland",406,0,0,478593,0,0,0,0
"United States of America","Ecuador",407,0,0,0,0,0,478039,0
"Ethiopia","Somalia",408,0,0,0,0,0,0,477774
"Germany","Romania",409,0,0,0,0,477488,0,0
"Ethiopia","South Sudan",410,0,0,0,0,0,0,476311
"Jordan","Iraq",411,0,0,0,0,475782,0,0
"United States of America","Poland",412,0,0,0,475678,0,0,0
"Japan","Republic of Korea",413,0,0,0,0,0,0,475166
"Dominican Republic","Haiti",414,0,0,0,0,0,475084,0
"United Arab Emirates","Philippines",415,0,0,0,0,474083,0,0
"Latvia","Russian Federation",416,473207,0,0,0,0,0,0
"Oman","India",417,0,0,0,0,473206,0,0
"Saudi Arabia","Sudan",418,0,0,0,0,0,0,469324
"Lebanon","State of Palestine",419,0,0,467005,0,0,0,0
"Russian Federation","Tajikistan",420,0,0,0,0,0,466508,0
"Russian Federation","Tajikistan",421,0,0,0,0,0,0,466399
"United States of America","El Salvador",422,465433,0,0,0,0,0,0
"Saudi Arabia","Egypt",423,0,0,0,465079,0,0,0
"Côte d'Ivoire","Mali",424,0,0,0,463993,0,0,0
"United Kingdom","Ireland",425,0,0,0,462925,0,0,0
"France","Spain",426,0,0,461791,0,0,0,0
"Russian Federation","Kyrgyzstan",427,0,0,461140,0,0,0,0
"United Kingdom","Pakistan",428,0,0,0,0,460473,0,0
"Somalia","Ethiopia",429,460000,0,0,0,0,0,0
"Nepal","India",430,0,0,0,0,459935,0,0
"Germany","Poland",431,0,459633,0,0,0,0,0
"Ethiopia","Somalia",432,0,459615,0,0,0,0,0
"United Arab Emirates","India",433,458294,0,0,0,0,0,0
"Germany","Czechia",434,0,0,0,0,0,458182,0
"Russian Federation","Tajikistan",435,0,0,0,0,457775,0,0
"Japan","Republic of Korea",436,0,0,0,0,0,457772,0
"Spain","Ecuador",437,0,0,0,456379,0,0,0
"Russian Federation","Kyrgyzstan",438,0,455644,0,0,0,0,0
"Canada","Philippines",439,0,0,0,0,454340,0,0
"Kenya","Somalia",440,0,0,0,0,0,0,452919
"United Kingdom","India",441,0,0,452144,0,0,0,0
"Argentina","Paraguay",442,0,0,0,451769,0,0,0
"Italy","Morocco",443,0,0,0,0,0,0,450557
"United States of America","India",444,450406,0,0,0,0,0,0
"Russian Federation","Georgia",445,0,0,0,0,0,450221,0
