,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,,,,
,,,,"Table 1 -  International migrant stock at mid-year by sex and by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,,International migrant stock at mid-year (male),,,,,,,International migrant stock at mid-year (female),,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019
40,Uganda,,800,B R,"544,273","606,987","584,280","593,308","492,930","851,175","1,734,166","283,337","308,281","290,859","292,130","241,903","415,845","836,620","260,936","298,706","293,421","301,178","251,027","435,330","897,546"
41,United Republic of Tanzania,2,834,B R,"574,025","1,106,043","949,600","771,153","309,847","384,567","509,166","283,390","547,089","481,816","486,983","154,591","190,617","251,424","290,635","558,954","467,784","284,170","155,256","193,950","257,742"
42,Zambia,,894,B R,"279,463","244,338","343,703","252,895","149,962","132,107","170,249","143,029","125,329","175,114","128,628","75,941","66,651","86,098","136,434","119,009","168,589","124,267","74,021","65,456","84,151"
43,Zimbabwe,,716,B R,"634,621","431,226","410,109","402,226","398,307","400,482","411,257","356,240","246,013","233,881","229,254","227,201","225,653","233,652","278,381","185,213","176,228","172,972","171,106","174,829","177,605"
44,Middle Africa,,911,,"1,461,155","2,662,490","1,775,284","1,958,781","2,430,300","3,494,415","3,785,279","744,853","1,355,452","915,265","1,002,237","1,238,391","1,836,077","2,001,672","716,302","1,307,038","860,019","956,544","1,191,909","1,658,338","1,783,607"
45,Angola,,24,B R,"33,517","39,813","46,108","61,329","332,126","632,178","669,479","18,142","20,755","23,367","30,240","160,275","304,635","341,719","15,375","19,058","22,741","31,089","171,851","327,543","327,760"
46,Cameroon,,120,B,"265,967","244,791","227,242","265,503","291,474","508,346","505,692","145,869","133,945","124,008","146,129","161,485","251,311","250,177","120,098","110,846","103,234","119,374","129,989","257,035","255,515"
47,Central African Republic,,140,C,"67,234","99,712","123,529","94,449","93,466","81,598","90,649","35,686","52,975","65,636","50,236","49,743","43,163","48,004","31,548","46,737","57,893","44,213","43,723","38,435","42,645"
48,Chad,,148,B R,"74,342","89,584","104,825","352,062","416,924","466,968","512,230","40,133","48,298","56,463","159,715","186,773","215,640","236,334","34,209","41,286","48,362","192,347","230,151","251,328","275,896"
49,Congo,,178,B,"129,391","191,635","305,880","318,724","425,173","390,142","402,142","64,316","95,822","153,107","173,229","231,105","213,764","220,238","65,075","95,813","152,773","145,495","194,068","176,378","181,904"
50,Democratic Republic of the Congo,,180,B R,"754,194","1,816,963","744,387","622,869","588,950","824,492","963,833","363,117","901,379","365,092","302,290","284,244","401,058","463,954","391,077","915,584","379,295","320,579","304,706","423,434","499,879"
51,Equatorial Guinea,,226,C,"2,740","3,629","4,517","6,588","8,658","209,611","227,617","1,465","1,930","2,394","3,564","4,734","161,527","175,403","1,275","1,699","2,123","3,024","3,924","48,084","52,214"
52,Gabon,,266,C,"128,188","171,427","214,431","233,824","270,829","378,686","411,463","73,172","97,800","122,986","135,107","158,680","243,782","264,758","55,016","73,627","91,445","98,717","112,149","134,904","146,705"
53,Sao Tome and Principe,,678,C,"5,582","4,936","4,365","3,433","2,700","2,394","2,174","2,953","2,548","2,212","1,727","1,352","1,197","1,085","2,629","2,388","2,153","1,706","1,348","1,197","1,089"
54,Southern Africa,,913,,"1,395,265","1,201,708","1,267,695","1,582,674","2,352,292","4,060,505","4,481,651","841,812","718,438","745,852","909,800","1,351,682","2,255,793","2,491,576","553,453","483,270","521,843","672,874","1,000,610","1,804,712","1,990,075"
55,Botswana,,72,B,"27,510","40,168","74,934","84,614","94,614","103,268","110,596","16,614","23,517","43,840","49,132","53,881","58,769","62,943","10,896","16,651","31,094","35,482","40,733","44,499","47,653"
56,Eswatini,,748,B R,"74,991","35,157","34,084","33,392","32,637","32,352","32,310","39,905","18,701","17,921","17,369","16,790","16,627","16,582","35,086","16,456","16,163","16,023","15,847","15,725","15,728"
57,Lesotho,,426,C R,"8,240","7,204","6,167","6,290","6,414","6,572","6,928","4,318","3,827","3,335","3,402","3,469","3,558","3,751","3,922","3,377","2,832","2,888","2,945","3,014","3,177"
58,Namibia,,516,B,"120,641","115,372","135,547","107,347","103,826","101,618","107,561","63,748","61,310","73,154","57,625","55,803","54,739","57,938","56,893","54,062","62,393","49,722","48,023","46,879","49,623"
59,South Africa,,710,B R,"1,163,883","1,003,807","1,016,963","1,351,031","2,114,801","3,816,695","4,224,256","717,227","611,083","607,602","782,272","1,221,739","2,122,100","2,350,362","446,656","392,724","409,361","568,759","893,062","1,694,595","1,873,894"
60,Western Africa,,914,,"4,470,738","5,433,595","5,261,131","5,918,194","6,315,445","7,065,889","7,398,379","2,392,396","2,876,376","2,794,970","3,174,194","3,385,347","3,753,208","3,927,487","2,078,342","2,557,219","2,466,161","2,744,000","2,930,098","3,312,681","3,470,892"
61,Benin,,204,C B R,"76,751","105,703","134,655","221,889","309,124","366,284","390,112","40,418","56,304","72,190","107,882","143,575","172,056","183,593","36,333","49,399","62,465","114,007","165,549","194,228","206,519"
62,Burkina Faso,,854,B R,"349,652","464,104","520,363","597,658","674,438","704,676","718,338","167,834","223,156","250,555","285,871","320,939","335,328","341,830","181,818","240,948","269,808","311,787","353,499","369,348","376,508"
63,Cabo Verde,,132,B,"8,931","9,979","11,027","12,700","14,373","14,924","15,664","4,429","5,091","5,753","6,523","7,293","7,547","7,922","4,502","4,888","5,274","6,177","7,080","7,377","7,742"
64,Côte d'Ivoire,,384,C B,"1,816,426","2,076,394","2,163,644","2,265,090","2,366,537","2,467,984","2,549,141","1,011,749","1,150,710","1,198,496","1,254,690","1,310,459","1,366,634","1,411,575","804,677","925,684","965,148","1,010,400","1,056,078","1,101,350","1,137,566"
65,Gambia,,270,B,"118,123","150,890","182,514","181,905","185,763","192,540","215,406","66,306","82,048","97,138","96,230","98,086","101,501","113,552","51,817","68,842","85,376","85,675","87,677","91,039","101,854"
66,Ghana,,288,B,"164,851","252,879","191,601","304,436","337,017","414,744","466,780","83,030","127,423","97,279","156,778","179,647","221,026","249,224","81,821","125,456","94,322","147,658","157,370","193,718","217,556"
67,Guinea,,324,C B R,"403,621","774,505","560,075","229,611","177,998","126,386","120,642","201,260","386,537","279,108","111,738","92,899","74,060","70,695","202,361","387,968","280,967","117,873","85,099","52,326","49,947"
68,Guinea-Bissau,,624,B R,"15,368","27,961","20,450","20,736","21,061","22,333","26,916","7,689","13,833","10,155","10,298","10,307","10,826","12,990","7,679","14,128","10,295","10,438","10,754","11,507","13,926"
69,Liberia,,430,B,"94,964","208,563","151,868","87,188","99,129","113,779","94,448","53,924","111,647","82,129","51,183","56,885","64,879","53,857","41,040","96,916","69,739","36,005","42,244","48,900","40,591"
70,Mali,,466,B R,"160,736","176,187","189,475","256,797","339,375","420,504","468,230","82,049","90,871","97,752","132,244","172,066","213,218","237,428","78,687","85,316","91,723","124,553","167,309","207,286","230,802"
71,Mauritania,,478,C R,"111,650","89,562","57,366","58,119","84,679","166,552","172,987","57,569","47,015","31,163","32,588","48,605","94,070","97,766","54,081","42,547","26,203","25,531","36,074","72,482","75,221"
72,Niger,,562,B R,"115,464","145,999","122,260","124,461","126,464","252,998","294,161","55,222","69,751","58,192","59,170","60,033","119,915","139,426","60,242","76,248","64,068","65,291","66,431","133,083","154,735"
73,Nigeria,,566,C R,"456,621","462,999","487,882","969,294","988,679","1,199,115","1,256,408","256,166","258,091","270,211","564,384","575,671","657,887","689,321","200,455","204,908","217,671","404,910","413,008","541,228","567,087"
74,Saint Helena,3,654,C,178,117,108,163,248,377,433,110,70,61,85,136,251,302,68,47,47,78,112,126,131
75,Senegal,,686,B R,"270,410","287,654","231,901","238,298","256,092","266,496","275,239","138,840","147,165","121,492","124,854","135,879","141,402","145,996","131,570","140,489","110,409","113,444","120,213","125,094","129,243"
76,Sierra Leone,,694,B R,"222,148","98,516","97,974","146,050","79,055","58,813","54,332","122,898","55,937","54,184","76,621","43,515","33,068","30,724","99,250","42,579","43,790","69,429","35,540","25,745","23,608"
77,Togo,,768,C R,"84,844","101,583","137,968","203,799","255,413","277,384","279,142","42,903","50,727","69,112","103,055","129,352","139,540","141,286","41,941","50,856","68,856","100,744","126,061","137,844","137,856"
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,,"17,608,769","18,912,064","20,321,397","23,281,297","32,562,553","42,052,792","48,591,390","10,137,138","11,047,709","12,060,066","14,355,846","21,117,316","27,111,882","31,329,318","7,471,631","7,864,355","8,261,331","8,925,451","11,445,237","14,940,910","17,262,072"
79,Northern Africa,,912,,"2,403,325","2,081,640","1,900,448","1,747,369","1,948,262","2,138,918","2,955,849","1,230,710","1,105,808","1,056,699","1,044,925","1,153,706","1,273,692","1,674,872","1,172,615","975,832","843,749","702,444","794,556","865,226","1,280,977"
80,Algeria,,12,B R,"273,954","262,032","250,110","197,422","216,964","239,473","249,075","150,234","143,696","137,158","108,266","114,727","126,522","131,596","123,720","118,336","112,952","89,156","102,237","112,951","117,479"
81,Egypt,,818,B R,"173,833","166,955","184,774","285,006","310,017","353,641","504,053","91,995","88,545","98,224","165,211","174,104","207,433","271,048","81,838","78,410","86,550","119,795","135,913","146,208","233,005"
82,Libya,,434,C,"457,075","508,041","567,436","625,212","683,998","771,146","818,216","242,707","300,906","368,950","445,597","489,737","549,153","582,673","214,368","207,135","198,486","179,615","194,261","221,993","235,543"
83,Morocco,,504,C,"54,895","50,360","53,034","54,379","70,909","92,424","98,574","29,024","26,264","27,233","27,543","35,738","46,387","49,479","25,871","24,096","25,801","26,836","35,171","46,037","49,095"
84,Sudan,4,729,B R,"1,402,896","1,053,396","805,086","546,419","618,709","620,523","1,223,092","696,385","525,701","404,618","278,084","314,552","311,885","607,151","706,511","527,695","400,468","268,335","304,157","308,638","615,941"
85,Tunisia,,788,C,"37,984","37,867","36,719","35,040","43,172","56,532","57,455","18,900","19,045","18,679","18,000","22,236","29,253","29,744","19,084","18,822","18,040","17,040","20,936","27,279","27,711"
86,Western Sahara,,732,I,"2,688","2,989","3,289","3,891","4,493","5,179","5,384","1,465","1,651","1,837","2,224","2,612","3,059","3,181","1,223","1,338","1,452","1,667","1,881","2,120","2,203"
87,Western Asia,,922,,"15,205,444","16,830,424","18,420,949","21,533,928","30,614,291","39,913,874","45,635,541","8,906,428","9,941,901","11,003,367","13,310,921","19,963,610","25,838,190","29,654,446","6,299,016","6,888,523","7,417,582","8,223,007","10,650,681","14,075,684","15,981,095"
88,Armenia,,51,B R,"658,789","693,999","657,900","469,119","211,147","191,199","190,159","270,535","284,995","270,170","191,401","85,669","77,436","78,001","388,254","409,004","387,730","277,718","125,478","113,763","112,158"
89,Azerbaijan,5,31,B R,"360,600","344,070","327,540","302,220","276,901","264,241","253,887","157,856","149,509","141,161","135,336","129,512","126,600","121,640","202,744","194,561","186,379","166,884","147,389","137,641","132,247"
90,Bahrain,,48,C,"173,212","205,979","239,361","404,018","657,856","704,137","741,161","122,730","144,227","165,344","288,614","475,905","508,966","535,728","50,482","61,752","74,017","115,404","181,951","195,171","205,433"
91,Cyprus,6,196,B,"43,805","61,941","80,076","117,165","191,866","192,020","191,922","20,463","27,604","34,745","50,421","83,931","84,153","85,208","23,342","34,337","45,331","66,744","107,935","107,867","106,714"
92,Georgia,7,268,B,"304,470","152,235","76,117","72,311","73,034","76,685","79,035","133,285","66,643","33,321","31,655","31,972","33,570","34,583","171,185","85,592","42,796","40,656","41,062","43,115","44,452"
93,Iraq,,368,C R,"83,638","199,460","210,525","132,915","117,389","359,381","368,062","55,751","114,821","120,464","80,883","72,965","209,233","214,288","27,887","84,639","90,061","52,032","44,424","150,148","153,774"
94,Israel,,376,B R,"1,632,704","1,792,185","1,851,309","1,889,503","1,950,615","2,011,727","1,956,346","770,777","830,330","853,712","867,805","890,352","912,899","887,768","861,927","961,855","997,597","1,021,698","1,060,263","1,098,828","1,068,578"
95,Jordan,,400,C R,"1,146,349","1,537,097","1,927,845","2,325,414","2,722,983","3,112,026","3,346,703","586,473","784,725","982,977","1,183,645","1,384,313","1,567,177","1,685,358","559,876","752,372","944,868","1,141,769","1,338,670","1,544,849","1,661,345"
96,Kuwait,,414,C R,"1,074,391","921,954","1,127,640","1,333,327","1,871,537","2,866,136","3,034,845","654,878","591,452","761,512","918,580","1,309,814","1,901,855","2,013,803","419,513","330,502","366,128","414,747","561,723","964,281","1,021,042"
97,Lebanon,,422,B R,"523,693","608,303","692,913","756,784","820,655","1,973,204","1,863,873","267,922","310,613","353,305","390,331","427,358","948,425","895,875","255,771","297,690","339,608","366,453","393,297","1,024,779","967,998"
98,Oman,,512,C,"304,000","539,643","623,608","666,160","816,221","1,856,226","2,286,226","242,477","417,444","488,389","527,842","658,746","1,552,000","1,911,526","61,523","122,199","135,219","138,318","157,475","304,226","374,700"
99,Qatar,,634,C,"309,753","361,673","359,697","646,026","1,456,413","1,687,640","2,229,688","225,932","269,972","274,242","498,428","1,206,571","1,416,361","1,845,678","83,821","91,701","85,455","147,598","249,842","271,279","384,010"
100,Saudi Arabia,,682,C R,"4,998,445","5,122,702","5,263,387","6,501,819","8,429,956","10,771,366","13,122,338","3,324,873","3,416,485","3,517,768","4,469,805","5,933,281","7,461,502","9,001,182","1,673,572","1,706,217","1,745,619","2,032,014","2,496,675","3,309,864","4,121,156"
