,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,
,,,,"Table 5 - Annual rate of change of the migrant stock by sex and by major area, region, country or area, 1990-2019 (percentage)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Annual rate of change of the migrant stock (both sexes),,,,,,Annual rate of change of the migrant stock (male),,,,,,Annual rate of change of the migrant stock (female),,,,,
,,,,,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019
94,Israel,,376,B R,1.9,0.6,0.4,0.6,0.6,-0.7,1.5,0.6,0.3,0.5,0.5,-0.7,2.2,0.7,0.5,0.7,0.7,-0.7
95,Jordan,,400,C R,5.9,4.5,3.7,3.2,2.7,1.8,5.8,4.5,3.7,3.1,2.5,1.8,5.9,4.6,3.8,3.2,2.9,1.8
96,Kuwait,,414,C R,-3.1,4.0,3.4,6.8,8.5,1.4,-2.0,5.1,3.8,7.1,7.5,1.4,-4.8,2.0,2.5,6.1,10.8,1.4
97,Lebanon,,422,B R,3.0,2.6,1.8,1.6,17.5,-1.4,3.0,2.6,2.0,1.8,15.9,-1.4,3.0,2.6,1.5,1.4,19.2,-1.4
98,Oman,,512,C,11.5,2.9,1.3,4.1,16.4,5.2,10.9,3.1,1.6,4.4,17.1,5.2,13.7,2.0,0.5,2.6,13.2,5.2
99,Qatar,,634,C,3.1,-0.1,11.7,16.3,2.9,7.0,3.6,0.3,11.9,17.7,3.2,6.6,1.8,-1.4,10.9,10.5,1.6,8.7
100,Saudi Arabia,,682,C R,0.5,0.5,4.2,5.2,4.9,4.9,0.5,0.6,4.8,5.7,4.6,4.7,0.4,0.5,3.0,4.1,5.6,5.5
101,State of Palestine,8,275,B,-0.5,-0.5,-0.6,-0.7,-0.2,-0.2,-0.6,-0.6,-0.8,-0.8,-0.3,-0.2,-0.4,-0.4,-0.5,-0.5,-0.2,-0.2
102,Syrian Arab Republic,,760,C R,3.0,0.1,1.0,14.2,-14.4,-0.1,3.0,0.2,1.0,14.1,-14.4,-0.0,3.0,-0.0,1.0,14.3,-14.4,-0.2
103,Turkey,,792,B R,0.9,1.0,0.6,0.7,23.1,7.5,0.6,0.7,0.1,0.2,26.8,7.7,1.2,1.3,1.0,1.1,19.4,7.3
