,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,,,,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,,,,,,,,
92,Georgia,7,268,B,56.2,56.2,56.2,56.2,56.2,56.2,56.2,,,,,,,,
93,Iraq,,368,C R,33.3,42.4,42.8,39.1,37.8,41.8,41.8,,,,,,,,
94,Israel,,376,B R,52.8,53.7,53.9,54.1,54.4,54.6,54.6,,,,,,,,
95,Jordan,,400,C R,48.8,48.9,49.0,49.1,49.2,49.6,49.6,,,,,,,,
96,Kuwait,,414,C R,39.0,35.8,32.5,31.1,30.0,33.6,33.6,,,,,,,,
97,Lebanon,,422,B R,48.8,48.9,49.0,48.4,47.9,51.9,51.9,,,,,,,,
98,Oman,,512,C,20.2,22.6,21.7,20.8,19.3,16.4,16.4,,,,,,,,
99,Qatar,,634,C,27.1,25.4,23.8,22.8,17.2,16.1,17.2,,,,,,,,
100,Saudi Arabia,,682,C R,33.5,33.3,33.2,31.3,29.6,30.7,31.4,,,,,,,,
101,State of Palestine,8,275,B,54.2,54.5,54.7,55.1,55.6,55.7,55.7,,,,,,,,
102,Syrian Arab Republic,,760,C R,49.0,49.1,48.7,48.7,48.9,48.9,48.8,,,,,,,,
103,Turkey,,792,B R,50.4,51.2,51.9,53.1,54.2,45.0,44.6,,,,,,,,
104,United Arab Emirates,,784,C R,28.7,28.2,28.2,27.2,25.3,26.3,26.3,,,,,,,,
105,Yemen,,887,CR,43.6,43.0,44.5,42.5,45.9,47.5,47.5,,,,,,,,
106,CENTRAL AND SOUTHERN ASIA,,921,,49.0,49.5,49.1,49.5,49.0,49.3,49.4,,,,,,,,
107,Central Asia,,5500,,55.2,55.0,55.2,53.9,52.7,51.9,51.8,,,,,,,,
108,Kazakhstan,,398,B,54.0,54.0,53.9,52.5,51.3,50.4,50.4,,,,,,,,
109,Kyrgyzstan,,417,B,58.2,58.2,58.2,58.6,59.2,59.6,59.6,,,,,,,,
110,Tajikistan,,762,B,56.2,56.4,56.0,56.7,56.5,56.9,56.9,,,,,,,,
111,Turkmenistan,,795,B,56.2,51.7,53.1,52.5,54.2,53.4,52.7,,,,,,,,
