,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,,,
,,,,"Table 6 - Estimated refugee stock (including asylum seekers) at mid-year by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Estimated refugee stock (including asylum seekers) at mid-year (both sexes),,,,,,,Refugees and asylum seekers as a percentage of the international migrant stock,,,,,,,Annual rate of change of the refugee stock (including asylum seekers),,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019
79,Northern Africa,,912,,"1,202,485","876,194","617,699","358,231","396,684","716,678","1,367,004",50.0,42.1,32.5,20.5,20.4,33.5,46.2,-6.3,-7.0,-10.9,2.0,11.8,16.1
80,Algeria,,12,B R,"169,107","192,489","167,453","94,101","94,144","100,775","100,567",61.7,73.5,67.0,47.7,43.4,42.1,40.4,2.6,-2.8,-11.5,0.0,1.4,-0.1
81,Egypt,,818,B R,"1,991","5,407","18,019","99,951","109,359","250,671","289,150",1.1,3.2,9.8,35.1,35.3,70.9,57.4,20.0,24.1,34.3,1.8,16.6,3.6
82,Libya,,434,C,0,"3,973","11,543","12,166","7,923","36,784","44,982",0.0,0.8,2.0,1.9,1.2,4.8,5.5,..,21.3,1.1,-8.6,30.7,5.0
83,Morocco,,504,C,307,55,"2,105",219,792,"5,473","6,779",0.6,0.1,4.0,0.4,1.1,5.9,6.9,-34.4,72.9,-45.3,25.7,38.7,5.4
84,Sudan,4,729,B R,"1,031,050","674,071","418,131","151,681","184,354","322,220","924,789",73.5,64.0,51.9,27.8,29.8,51.9,75.6,-8.5,-9.6,-20.3,3.9,11.2,26.4
85,Tunisia,,788,C,30,199,448,113,112,755,737,0.1,0.5,1.2,0.3,0.3,1.3,1.3,37.8,16.2,-27.5,-0.2,38.2,-0.6
86,Western Sahara,,732,I,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,..,..,..
87,Western Asia,,922,,"2,566,871","3,773,562","4,295,458","5,137,738","6,548,833","10,388,911","11,749,209",16.9,22.4,23.3,23.9,21.4,26.0,25.7,7.7,2.6,3.6,4.9,9.2,3.1
88,Armenia,,51,B R,..,"218,950","280,591","219,550","3,319","19,385","18,022",..,31.5,42.6,46.8,1.6,10.1,9.5,..,5.0,-4.9,-83.8,35.3,-1.8
